,Age,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,Work_accident,YearsInCurrentRole,YearsWithCurrManager,average_montly_hours,last_evaluation,number_project,satisfaction_level_Combined,YearsAtCompanyCombied,salary_combined,BusinessTravel_numerical,Gender_numerical,EducationField_numerical,MaritalStatus_numerical,OverTime_numerical,JobRole_numerical,department_combined,promotion_5_year_combined,MonthtlyRateNormalized,actual,predicted
17138,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,183.0,0.58,3.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
17046,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,178.0,0.49,3.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,2,0,2.0,0,0
6660,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,226.0,0.9,4.0,4.0,5.0,1,1.0,1.0,2.0,1.0,0.0,2.0,9,0,2.0,1,0
18115,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,285.0,0.85,6.0,1.0,7.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,1
8121,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,242.0,0.98,4.0,4.0,6.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,1,0
3002,28.0,7.0,2.0,2.0,1.0,1.0,13.0,3.0,3.0,0.0,4.0,2.0,3.0,0.0,3.0,2.0,200.0,0.72,4.0,1.0,3.0,1,1.0,1.0,2.0,2.0,0.0,2.0,1,1,2.0,1,1
21027,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,161.0,0.56,2.0,2.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,2,0,2.0,1,0
15039,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,223.0,0.72,4.0,3.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
18523,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,130.0,0.49,2.0,2.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,10,0,2.0,1,0
16102,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,148.0,0.91,4.0,2.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
10132,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,178.0,0.67,3.0,3.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,3,0,2.0,0,0
10834,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,264.0,0.81,4.0,3.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
2115,36.0,2.0,3.0,1.0,2.0,1.0,11.0,3.0,3.0,0.0,11.0,2.0,2.0,0.0,6.0,6.0,200.0,0.72,4.0,3.0,4.0,2,1.0,1.0,2.0,1.0,0.0,0.0,2,0,4.0,1,0
15266,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,189.0,0.85,2.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
15793,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,153.0,0.99,6.0,4.0,6.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
7665,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,155.0,0.55,2.0,2.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,0
10604,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,143.0,0.84,4.0,4.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
1765,39.0,2.0,1.0,2.0,3.0,1.0,15.0,3.0,2.0,0.0,29.0,3.0,3.0,0.0,7.0,7.0,200.0,0.72,4.0,4.0,30.0,2,1.0,1.0,0.0,1.0,0.0,0.0,1,1,2.0,1,1
6909,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,156.0,0.45,2.0,2.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,1,0
19351,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,271.0,0.82,4.0,4.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
180,31.0,12.0,3.0,3.0,1.0,8.0,23.0,4.0,3.0,1.0,7.0,0.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,4.0,4.0,1,1.0,0.0,2.0,1.0,1.0,1.0,2,1,0.0,0,1
19398,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,171.0,0.61,4.0,1.0,6.0,1,1.0,1.0,2.0,1.0,0.0,2.0,8,0,2.0,0,1
5550,32.0,15.0,2.0,1.0,1.0,1.0,21.0,3.0,2.0,0.0,1.0,3.0,3.0,0.0,2.0,1.0,200.0,0.72,4.0,1.0,1.0,1,1.0,0.0,3.0,1.0,1.0,1.0,2,1,2.0,1,1
20492,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,275.0,0.77,5.0,1.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,9,0,2.0,1,1
17565,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,133.0,0.58,4.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
4936,34.0,3.0,1.0,2.0,1.0,2.0,16.0,3.0,2.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,200.0,0.72,4.0,2.0,0.0,1,0.0,0.0,4.0,0.0,1.0,2.0,2,0,3.0,1,1
980,31.0,2.0,3.0,2.0,1.0,7.0,14.0,3.0,3.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,200.0,0.72,4.0,4.0,1.0,1,2.0,0.0,0.0,0.0,0.0,6.0,1,1,2.0,1,1
2171,26.0,5.0,3.0,3.0,1.0,0.0,17.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,200.0,0.72,4.0,3.0,5.0,0,1.0,1.0,4.0,0.0,0.0,2.0,2,1,3.0,1,1
1346,45.0,25.0,2.0,2.0,2.0,0.0,13.0,3.0,4.0,2.0,10.0,2.0,2.0,0.0,8.0,8.0,200.0,0.72,4.0,4.0,9.0,2,1.0,0.0,0.0,1.0,0.0,3.0,2,1,4.0,0,0
17598,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,252.0,0.8,3.0,3.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,9,0,2.0,0,0
8309,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,233.0,0.95,5.0,3.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
19375,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,261.0,0.94,4.0,1.0,6.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,1
10807,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,156.0,0.68,3.0,4.0,3.0,2,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
7676,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,264.0,0.83,6.0,1.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,1,0
13195,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,145.0,0.57,4.0,2.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
1034,45.0,20.0,2.0,1.0,3.0,2.0,18.0,3.0,2.0,1.0,24.0,2.0,3.0,0.0,7.0,7.0,200.0,0.72,4.0,1.0,7.0,2,1.0,1.0,2.0,2.0,1.0,4.0,2,1,3.0,0,1
688,19.0,21.0,4.0,2.0,1.0,1.0,13.0,3.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,200.0,0.72,4.0,2.0,1.0,0,1.0,1.0,1.0,0.0,1.0,6.0,1,1,1.0,1,1
3588,31.0,1.0,3.0,2.0,1.0,1.0,13.0,3.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,200.0,0.72,4.0,1.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1.0,2,1,0.0,1,1
15501,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,265.0,0.65,4.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
16248,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,103.0,0.56,3.0,4.0,5.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
16670,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,230.0,0.89,3.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
13872,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,257.0,0.92,3.0,4.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,4,0,2.0,0,0
12671,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,136.0,0.85,3.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
3752,29.0,2.0,4.0,2.0,1.0,6.0,15.0,3.0,3.0,1.0,10.0,4.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,2.0,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1,1
16666,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,231.0,0.5,5.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,10,0,2.0,0,0
16681,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,240.0,0.61,3.0,2.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
8045,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,165.0,0.83,6.0,3.0,6.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,1,0
18471,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,263.0,0.97,5.0,4.0,5.0,1,1.0,1.0,2.0,1.0,0.0,2.0,3,0,2.0,1,0
9458,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,150.0,0.62,3.0,4.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
15393,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,196.0,0.84,4.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
12985,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,226.0,0.64,5.0,4.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
13551,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,155.0,0.65,3.0,4.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
13671,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,252.0,0.61,5.0,1.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,1
2145,23.0,15.0,4.0,3.0,1.0,4.0,11.0,3.0,3.0,0.0,16.0,3.0,3.0,0.0,1.0,0.0,200.0,0.72,4.0,1.0,15.0,1,1.0,0.0,1.0,0.0,0.0,1.0,2,1,1.0,1,1
19877,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,157.0,0.8,6.0,1.0,6.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
12846,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,218.0,0.6,3.0,3.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,2,0,2.0,0,0
10422,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,140.0,0.6,3.0,1.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,1
409,42.0,29.0,1.0,3.0,2.0,2.0,11.0,3.0,2.0,1.0,19.0,3.0,3.0,0.0,4.0,2.0,200.0,0.72,4.0,3.0,5.0,1,2.0,0.0,0.0,2.0,0.0,1.0,2,1,2.0,0,1
2255,30.0,9.0,3.0,2.0,1.0,1.0,19.0,3.0,3.0,0.0,4.0,3.0,1.0,0.0,2.0,2.0,200.0,0.72,4.0,2.0,3.0,1,1.0,1.0,0.0,0.0,0.0,2.0,2,1,1.0,1,1
17277,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,185.0,0.62,4.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,7,0,2.0,0,0
21036,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,267.0,0.88,7.0,1.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,7,0,2.0,1,1
15111,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,196.0,0.98,3.0,3.0,6.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
17201,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,121.0,0.68,3.0,3.0,5.0,0,1.0,1.0,2.0,1.0,0.0,2.0,2,0,2.0,0,0
11733,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,106.0,0.43,2.0,3.0,2.0,2,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
11145,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,173.0,0.71,4.0,3.0,3.0,2,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
3035,43.0,18.0,1.0,3.0,1.0,1.0,16.0,3.0,2.0,0.0,5.0,4.0,2.0,0.0,1.0,2.0,200.0,0.72,4.0,1.0,4.0,1,1.0,0.0,0.0,1.0,0.0,0.0,2,1,0.0,1,1
6405,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,304.0,0.8,6.0,1.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,1
2527,21.0,3.0,2.0,2.0,1.0,4.0,11.0,3.0,3.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,200.0,0.72,4.0,2.0,2.0,1,1.0,0.0,3.0,0.0,1.0,1.0,1,1,1.0,1,1
18040,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,230.0,0.5,2.0,3.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
3111,36.0,24.0,2.0,1.0,2.0,3.0,20.0,3.0,2.0,0.0,9.0,4.0,2.0,0.0,5.0,1.0,200.0,0.72,4.0,1.0,4.0,2,2.0,1.0,4.0,0.0,1.0,0.0,2,1,4.0,1,1
20013,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,240.0,0.84,3.0,4.0,7.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
2571,35.0,11.0,3.0,2.0,2.0,1.0,15.0,3.0,2.0,1.0,8.0,5.0,3.0,0.0,2.0,6.0,200.0,0.72,4.0,3.0,6.0,2,1.0,1.0,3.0,1.0,0.0,0.0,2,1,0.0,1,0
6248,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,306.0,0.89,6.0,1.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,1
11465,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,178.0,0.5,3.0,4.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,9,0,2.0,0,0
3375,48.0,10.0,1.0,1.0,2.0,5.0,14.0,3.0,3.0,0.0,10.0,4.0,2.0,0.0,5.0,2.0,200.0,0.72,4.0,4.0,3.0,2,1.0,1.0,2.0,0.0,0.0,0.0,1,0,3.0,1,0
20903,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,242.0,0.87,4.0,4.0,6.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,1,0
866,40.0,2.0,2.0,3.0,2.0,5.0,12.0,3.0,4.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,2.0,0.0,1,2.0,1.0,2.0,1.0,0.0,0.0,1,1,4.0,0,1
10347,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,229.0,0.87,3.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
5148,33.0,8.0,3.0,2.0,1.0,1.0,13.0,3.0,3.0,0.0,8.0,3.0,2.0,0.0,2.0,0.0,200.0,0.72,4.0,1.0,2.0,0,1.0,0.0,0.0,0.0,0.0,6.0,2,1,4.0,1,1
13768,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,172.0,0.65,4.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,4,0,2.0,0,0
993,25.0,18.0,1.0,4.0,2.0,2.0,11.0,3.0,2.0,0.0,6.0,3.0,2.0,0.0,2.0,2.0,200.0,0.72,4.0,3.0,3.0,2,1.0,1.0,0.0,1.0,0.0,0.0,1,1,2.0,0,0
13976,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,187.0,0.99,5.0,4.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
5252,28.0,1.0,3.0,2.0,1.0,1.0,13.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,2.0,1.0,0,1.0,1.0,2.0,0.0,1.0,2.0,2,1,1.0,1,1
18955,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,245.0,0.78,6.0,1.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,1
1166,48.0,4.0,3.0,2.0,4.0,2.0,25.0,4.0,2.0,1.0,23.0,3.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,4.0,2.0,2,2.0,1.0,2.0,1.0,0.0,5.0,2,1,0.0,0,0
9480,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,249.0,0.53,2.0,4.0,2.0,2,1.0,1.0,2.0,1.0,0.0,2.0,8,0,2.0,0,0
8350,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,176.0,0.63,3.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
15306,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,223.0,0.88,3.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
18808,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,157.0,0.46,2.0,2.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,8,0,2.0,1,0
17092,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,241.0,0.59,4.0,4.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
6650,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,139.0,0.48,2.0,2.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,0
5050,35.0,15.0,1.0,2.0,2.0,5.0,15.0,3.0,2.0,0.0,14.0,2.0,3.0,0.0,1.0,5.0,200.0,0.72,4.0,2.0,9.0,1,1.0,0.0,2.0,2.0,0.0,2.0,2,0,1.0,1,1
14416,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,183.0,0.55,4.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
2300,28.0,9.0,3.0,1.0,1.0,0.0,11.0,3.0,3.0,0.0,3.0,2.0,2.0,0.0,3.0,2.0,200.0,0.72,4.0,2.0,2.0,1,1.0,0.0,4.0,2.0,0.0,2.0,2,1,2.0,1,1
12340,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,162.0,0.7,4.0,2.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
20693,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,270.0,0.93,5.0,4.0,5.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,0
8141,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,128.0,0.51,2.0,2.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,1,0
11183,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,184.0,0.92,2.0,3.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
18163,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,143.0,0.72,3.0,2.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
15536,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,134.0,0.7,4.0,2.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
20852,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,160.0,0.57,2.0,2.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,1,0
9366,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,267.0,0.98,3.0,2.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
15135,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,157.0,0.77,3.0,3.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,2,0,2.0,0,0
16540,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,237.0,0.62,4.0,4.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
3794,33.0,10.0,2.0,2.0,1.0,0.0,14.0,3.0,3.0,0.0,4.0,2.0,1.0,0.0,2.0,2.0,200.0,0.72,4.0,2.0,3.0,1,1.0,0.0,0.0,2.0,1.0,2.0,2,1,1.0,1,1
2386,28.0,9.0,2.0,3.0,1.0,1.0,13.0,3.0,4.0,0.0,5.0,2.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,2.0,3.0,1,1.0,1.0,2.0,2.0,1.0,2.0,2,1,2.0,1,1
3739,44.0,9.0,3.0,2.0,1.0,0.0,13.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,200.0,0.72,4.0,1.0,9.0,0,1.0,1.0,2.0,0.0,1.0,1.0,2,1,1.0,1,1
5129,28.0,1.0,1.0,2.0,1.0,2.0,14.0,3.0,2.0,1.0,8.0,2.0,2.0,0.0,4.0,3.0,200.0,0.72,4.0,1.0,2.0,0,1.0,1.0,4.0,0.0,0.0,2.0,2,1,1.0,1,1
326,39.0,7.0,3.0,2.0,5.0,1.0,15.0,3.0,1.0,1.0,21.0,2.0,3.0,0.0,9.0,3.0,200.0,0.72,4.0,4.0,21.0,2,2.0,1.0,2.0,1.0,0.0,5.0,2,0,3.0,0,0
