Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
50,Yes,Travel_Rarely,410,Sales,28,3,Marketing,1,2055,4,Male,39,2,3,Sales Executive,1,Divorced,10854,16586,4,Y,Yes,13,3,2,80,1,20,3,3,3,2,2,0
39,No,Travel_Rarely,722,Sales,24,1,Marketing,1,2056,2,Female,60,2,4,Sales Executive,4,Married,12031,8828,0,Y,No,11,3,1,80,1,21,2,2,20,9,9,6
31,No,Non-Travel,325,Research & Development,5,3,Medical,1,2057,2,Male,74,3,2,Manufacturing Director,1,Single,9936,3787,0,Y,No,19,3,2,80,0,10,2,3,9,4,1,7
26,No,Travel_Rarely,1167,Sales,5,3,Other,1,2060,4,Female,30,2,1,Sales Representative,3,Single,2966,21378,0,Y,No,18,3,4,80,0,5,2,3,4,2,0,0
36,No,Travel_Frequently,884,Research & Development,23,2,Medical,1,2061,3,Male,41,4,2,Laboratory Technician,4,Married,2571,12290,4,Y,No,17,3,3,80,1,17,3,3,5,2,0,3
39,No,Travel_Rarely,613,Research & Development,6,1,Medical,1,2062,4,Male,42,2,3,Healthcare Representative,1,Married,9991,21457,4,Y,No,15,3,1,80,1,9,5,3,7,7,1,7
27,No,Travel_Rarely,155,Research & Development,4,3,Life Sciences,1,2064,2,Male,87,4,2,Manufacturing Director,2,Married,6142,5174,1,Y,Yes,20,4,2,80,1,6,0,3,6,2,0,3
49,No,Travel_Frequently,1023,Sales,2,3,Medical,1,2065,4,Male,63,2,2,Sales Executive,2,Married,5390,13243,2,Y,No,14,3,4,80,0,17,3,2,9,6,0,8
34,No,Travel_Rarely,628,Research & Development,8,3,Medical,1,2068,2,Male,82,4,2,Laboratory Technician,3,Married,4404,10228,2,Y,No,12,3,1,80,0,6,3,4,4,3,1,2
33,Yes,Travel_Rarely,744,Research & Development,1,2,Life Sciences,1,83,1,Female,95,2,2,Sales Executive,3,Married,5906,19346,4,Y,Yes,17,3,1,80,0,11,0,1,3,6,0,5
32,Yes,Travel_Rarely,1092,Sales,1,2,Life Sciences,1,5,1,Female,80,1,2,Laboratory Technician,3,Single,6139,20436,8,Y,Yes,15,3,1,80,0,22,0,1,6,5,0,0
43,Yes,Travel_Rarely,1049,Research & Development,1,3,Life Sciences,1,24,2,Female,83,2,2,Sales Executive,3,Single,5399,19452,8,Y,Yes,14,3,3,80,0,9,0,1,5,2,5,2
42,Yes,Travel_Rarely,562,Research & Development,2,2,Life Sciences,1,20,1,Female,96,1,2,Sales Executive,3,Single,6005,19386,6,Y,Yes,12,3,1,80,0,19,1,1,6,3,5,6
34,Yes,Travel_Rarely,1047,Sales,2,2,Life Sciences,1,26,1,Male,94,2,2,Sales Executive,3,Single,5635,20215,5,Y,Yes,17,3,1,80,0,13,0,1,2,2,0,6
42,Yes,Travel_Rarely,748,Research & Development,4,2,Life Sciences,1,106,2,Female,94,2,2,Sales Executive,3,Single,5996,20621,8,Y,Yes,14,3,3,80,0,9,0,1,6,2,0,3
44,Yes,Travel_Rarely,629,Sales,1,2,Life Sciences,1,50,1,Female,95,2,2,Sales Executive,3,Single,5867,19308,8,Y,Yes,14,3,1,80,0,8,1,1,6,6,0,5
46,Yes,Travel_Rarely,663,Sales,2,2,Life Sciences,1,32,1,Male,94,2,2,Sales Executive,3,Single,6140,20179,5,Y,Yes,12,3,2,80,0,10,0,1,6,3,3,4
34,Yes,Travel_Rarely,870,Sales,4,2,Life Sciences,1,156,1,Female,95,2,2,Sales Executive,3,Single,6140,20477,7,Y,Yes,11,3,1,80,0,10,1,2,6,3,1,5
34,Yes,Travel_Rarely,506,Sales,1,3,Life Sciences,1,8,1,Male,88,2,2,Sales Executive,3,Single,5435,20693,8,Y,Yes,17,3,1,80,0,16,2,1,6,2,0,2
47,Yes,Travel_Rarely,1097,Sales,1,2,Life Sciences,1,92,1,Male,97,1,2,Sales Executive,3,Married,5707,20586,8,Y,Yes,11,3,1,80,0,17,1,1,6,4,0,1
38,Yes,Travel_Rarely,675,Sales,1,2,Life Sciences,1,49,1,Female,96,2,2,Sales Executive,3,Single,5973,19352,5,Y,Yes,13,3,1,80,0,10,1,1,3,2,0,6
45,Yes,Travel_Rarely,835,Sales,1,2,Life Sciences,1,48,1,Female,97,1,2,Sales Executive,3,Single,5843,20620,6,Y,Yes,15,3,2,80,0,17,0,1,6,6,1,4
44,Yes,Travel_Rarely,700,Sales,1,2,Life Sciences,1,124,2,Male,87,2,2,Sales Executive,3,Married,5390,20405,8,Y,Yes,11,3,2,80,0,14,0,1,3,2,0,2
45,Yes,Travel_Rarely,569,Sales,1,2,Life Sciences,1,29,2,Male,97,2,2,Laboratory Technician,3,Single,6052,19571,8,Y,Yes,12,3,1,80,0,11,1,1,6,5,3,0
33,Yes,Travel_Rarely,794,Sales,5,2,Life Sciences,1,11,2,Female,88,2,2,Sales Executive,3,Single,6154,20418,7,Y,Yes,11,3,2,80,0,20,0,1,1,4,1,6
34,Yes,Travel_Rarely,443,Sales,1,2,Life Sciences,1,11,2,Female,97,2,2,Laboratory Technician,3,Single,5578,20392,8,Y,Yes,13,3,1,80,0,16,0,1,6,6,5,3
40,Yes,Travel_Rarely,737,Sales,1,3,Life Sciences,1,5,2,Male,87,2,2,Sales Executive,3,Single,5522,19412,4,Y,Yes,11,3,1,80,0,10,0,2,4,0,6,6
34,Yes,Travel_Rarely,848,Sales,5,2,Life Sciences,1,62,2,Male,89,2,2,Laboratory Technician,3,Married,5938,20331,8,Y,Yes,12,3,3,80,0,15,0,1,2,0,5,4
34,Yes,Travel_Rarely,769,Sales,3,2,Life Sciences,1,49,1,Female,79,2,2,Sales Executive,3,Single,5680,19543,8,Y,Yes,11,3,1,80,0,8,2,1,1,2,4,2
38,Yes,Travel_Rarely,952,Research & Development,1,2,Other,1,23,3,Male,77,2,1,Sales Representative,3,Married,2118,2843,3,Y,No,14,3,2,80,0,6,2,3,1,0,0,0
38,Yes,Travel_Rarely,1367,Sales,1,2,Other,1,6,3,Male,64,2,1,Research Scientist,3,Married,2086,3109,4,Y,No,14,3,2,80,0,6,2,2,0,0,0,0
32,Yes,Travel_Rarely,1310,Research & Development,1,2,Other,1,9,4,Male,70,2,1,Laboratory Technician,3,Married,2286,2486,5,Y,No,14,3,1,80,0,12,3,3,0,0,0,0
34,Yes,Travel_Rarely,1070,Research & Development,2,2,Technical Degree,1,16,2,Male,74,2,1,Laboratory Technician,3,Married,2089,2708,4,Y,Yes,15,3,1,80,0,6,2,3,0,0,0,0
38,Yes,Travel_Rarely,1342,Sales,2,2,Medical,1,20,3,Male,84,2,1,Sales Representative,3,Single,2208,2944,3,Y,No,14,3,1,80,0,6,2,3,1,0,0,0
34,Yes,Travel_Rarely,1174,Research & Development,3,2,Other,1,28,4,Male,86,2,1,Laboratory Technician,3,Single,2089,3247,4,Y,Yes,14,3,1,80,0,11,2,2,0,0,0,0
30,Yes,Travel_Rarely,817,Sales,1,2,Medical,1,15,2,Male,81,2,1,Sales Representative,3,Single,2131,2971,5,Y,Yes,14,3,2,80,0,8,4,3,0,0,1,0
27,Yes,Travel_Rarely,1127,Research & Development,3,2,Medical,1,11,2,Male,86,2,1,Laboratory Technician,3,Married,2086,2917,4,Y,Yes,15,3,1,80,0,14,2,3,0,0,0,0
38,Yes,Travel_Rarely,1243,Research & Development,3,2,Other,1,40,3,Male,83,2,1,Sales Representative,3,Single,2086,3139,5,Y,Yes,15,3,1,80,0,14,2,2,0,0,0,0
38,Yes,Travel_Rarely,1039,Research & Development,1,2,Other,1,9,3,Male,81,2,1,Sales Representative,3,Single,2274,3301,3,Y,Yes,14,3,2,80,0,6,5,2,0,0,1,0
24,Yes,Travel_Rarely,1370,Research & Development,1,2,Medical,1,25,2,Male,65,2,1,Laboratory Technician,3,Married,2184,3221,3,Y,Yes,15,3,2,80,0,6,2,3,0,0,1,0
37,Yes,Travel_Rarely,1134,Sales,1,2,Medical,1,35,2,Male,75,2,1,Laboratory Technician,3,Single,2096,2824,4,Y,Yes,14,3,2,80,0,6,4,3,1,0,0,0
28,Yes,Travel_Rarely,1223,Research & Development,1,2,Other,1,15,2,Male,64,2,1,Sales Representative,3,Single,2139,3246,5,Y,No,14,3,1,80,0,6,3,3,0,0,0,0
31,Yes,Travel_Rarely,900,Research & Development,2,2,Other,1,33,4,Male,78,2,1,Sales Representative,3,Married,2289,3086,3,Y,Yes,15,3,1,80,0,6,2,3,1,0,0,0
29,Yes,Travel_Rarely,1074,Research & Development,1,2,Other,1,22,4,Male,63,2,1,Research Scientist,3,Single,2088,2464,3,Y,No,15,3,2,80,0,17,4,2,0,0,0,0
38,Yes,Travel_Rarely,1011,Research & Development,4,2,Technical Degree,1,10,4,Male,80,2,1,Laboratory Technician,3,Married,2086,3096,5,Y,No,14,3,1,80,0,6,2,2,1,0,0,0
38,Yes,Travel_Rarely,1004,Sales,1,2,Other,1,10,4,Male,65,2,1,Research Scientist,3,Single,2227,3076,3,Y,Yes,14,3,1,80,0,6,3,2,0,0,0,0
37,Yes,Travel_Rarely,1168,Research & Development,1,2,Medical,1,4,4,Male,79,2,1,Sales Representative,3,Married,2246,2618,3,Y,Yes,15,3,2,80,0,6,2,2,0,0,0,0
38,Yes,Travel_Rarely,1230,Research & Development,4,2,Technical Degree,1,43,4,Male,83,2,1,Research Scientist,3,Married,2108,3031,2,Y,Yes,15,3,1,80,0,6,2,3,1,0,0,0
38,Yes,Travel_Rarely,982,Research & Development,3,2,Other,1,35,3,Male,63,2,1,Sales Representative,3,Single,2193,2444,3,Y,Yes,15,3,2,80,0,9,5,3,1,0,0,0
51,Yes,Travel_Rarely,247,Sales,16,2,Life Sciences,1,478,3,Male,42,1,1,Laboratory Technician,3,Divorced,2073,12449,8,Y,Yes,14,3,2,80,0,5,3,2,2,0,0,1
52,Yes,Travel_Rarely,110,Research & Development,7,2,Life Sciences,1,57,3,Male,55,2,1,Sales Representative,3,Divorced,2316,13278,3,Y,Yes,14,3,3,80,0,3,3,2,3,0,0,0
30,Yes,Travel_Rarely,124,Sales,6,1,Life Sciences,1,147,3,Male,54,1,1,Laboratory Technician,3,Divorced,2341,12846,4,Y,Yes,14,3,3,80,0,4,3,2,3,2,0,1
29,Yes,Travel_Frequently,531,Sales,16,2,Life Sciences,1,184,3,Male,40,2,1,Laboratory Technician,3,Divorced,2053,12599,6,Y,Yes,15,3,2,80,0,3,3,2,1,2,0,0
47,Yes,Travel_Frequently,146,Research & Development,17,2,Marketing,1,235,3,Female,45,2,1,Laboratory Technician,3,Single,2216,13202,7,Y,Yes,14,3,2,80,0,4,3,2,2,2,0,1
29,Yes,Travel_Frequently,383,Sales,10,2,Life Sciences,1,606,3,Male,46,1,1,Laboratory Technician,3,Single,2035,13343,3,Y,No,14,3,3,80,0,4,3,2,1,2,0,2
30,Yes,Travel_Rarely,294,Research & Development,18,2,Marketing,1,294,3,Male,44,1,1,Laboratory Technician,3,Single,2094,12307,4,Y,Yes,14,3,2,80,0,5,3,2,3,0,0,1
32,Yes,Travel_Rarely,451,Research & Development,16,2,Marketing,1,191,3,Male,46,1,1,Laboratory Technician,3,Divorced,2318,13189,7,Y,Yes,15,3,2,80,0,4,3,2,1,2,0,2
47,Yes,Travel_Rarely,287,Research & Development,9,2,Life Sciences,1,879,3,Male,45,1,1,Laboratory Technician,3,Single,2317,13293,5,Y,No,14,3,2,80,0,4,3,2,3,2,0,2
48,Yes,Travel_Frequently,576,Research & Development,23,1,Life Sciences,1,86,3,Male,52,1,1,Laboratory Technician,3,Single,2322,13368,2,Y,No,14,3,2,80,0,4,3,2,1,2,0,1
33,Yes,Travel_Frequently,106,Research & Development,9,2,Marketing,1,527,3,Male,35,2,1,Laboratory Technician,3,Divorced,2178,13331,2,Y,Yes,14,3,3,80,0,4,3,2,1,1,0,0
36,Yes,Travel_Frequently,441,Research & Development,15,2,Marketing,1,434,3,Male,41,1,1,Laboratory Technician,3,Single,2038,12470,7,Y,No,14,3,3,80,0,5,3,2,2,2,0,1
32,Yes,Travel_Rarely,314,Research & Development,10,2,Life Sciences,1,282,3,Male,34,2,1,Laboratory Technician,3,Single,2107,13342,6,Y,Yes,14,3,3,80,0,4,3,2,3,0,0,2
30,Yes,Travel_Rarely,265,Research & Development,23,2,Life Sciences,1,705,3,Female,52,2,1,Laboratory Technician,3,Divorced,2345,13268,2,Y,Yes,14,3,2,80,0,4,3,2,2,2,0,1
31,Yes,Travel_Rarely,526,Research & Development,10,2,Life Sciences,1,262,3,Female,34,1,1,Sales Representative,3,Single,2145,12979,1,Y,Yes,15,3,3,80,0,3,3,2,1,0,0,0
50,Yes,Travel_Rarely,227,Research & Development,5,2,Life Sciences,1,109,3,Male,52,1,1,Laboratory Technician,3,Divorced,2345,13272,5,Y,Yes,14,3,3,80,0,3,3,2,2,1,0,0
48,Yes,Travel_Rarely,626,Research & Development,10,2,Life Sciences,1,104,3,Male,35,1,1,Sales Representative,3,Single,2246,13263,2,Y,No,14,3,2,80,0,4,3,2,2,0,0,1
29,Yes,Travel_Frequently,393,Research & Development,14,1,Marketing,1,41,3,Male,52,1,1,Laboratory Technician,3,Divorced,2276,12699,8,Y,Yes,14,3,2,80,0,5,3,2,3,2,0,0
48,Yes,Travel_Frequently,304,Research & Development,3,2,Life Sciences,1,539,3,Male,51,1,1,Sales Representative,3,Divorced,2056,13242,1,Y,Yes,15,3,3,80,0,4,3,2,2,2,0,2
46,Yes,Travel_Frequently,237,Research & Development,10,2,Life Sciences,1,434,3,Male,55,1,1,Laboratory Technician,3,Single,2192,12969,1,Y,Yes,14,3,2,80,0,5,3,2,2,2,0,1
28,Yes,Travel_Rarely,744,Research & Development,9,3,Life Sciences,1,273,2,Male,62,1,1,Research Scientist,1,Single,3407,6784,1,Y,No,22,3,2,80,0,9,3,3,4,3,0,3
27,Yes,Travel_Rarely,1211,Research & Development,9,3,Life Sciences,1,66,2,Male,75,2,1,Laboratory Technician,2,Divorced,3156,6679,7,Y,No,22,3,2,80,0,8,3,3,5,3,0,3
34,Yes,Travel_Rarely,1148,Research & Development,9,1,Life Sciences,1,96,3,Male,76,1,1,Sales Representative,1,Divorced,3407,6945,7,Y,No,22,4,1,80,0,8,3,3,4,3,0,3
35,Yes,Travel_Rarely,811,Research & Development,7,2,Technical Degree,1,199,1,Male,57,2,1,Sales Representative,1,Divorced,3385,6845,4,Y,No,16,3,1,80,2,8,2,3,5,3,0,3
29,Yes,Travel_Frequently,1176,Research & Development,7,1,Medical,1,252,2,Male,71,2,1,Research Scientist,2,Single,3407,6749,1,Y,No,22,4,1,80,0,9,3,3,4,3,0,3
35,Yes,Travel_Frequently,951,Research & Development,5,1,Life Sciences,1,342,3,Male,73,1,1,Sales Representative,1,Single,3400,6619,7,Y,No,22,3,1,80,2,8,3,3,5,3,0,3
34,Yes,Travel_Rarely,591,Research & Development,9,3,Medical,1,174,1,Male,67,1,1,Research Scientist,2,Single,3407,6726,7,Y,No,22,4,2,80,0,9,2,3,5,3,0,3
33,Yes,Travel_Rarely,887,Sales,6,3,Medical,1,119,1,Male,74,1,1,Sales Representative,1,Divorced,3155,6761,3,Y,No,17,4,1,80,0,8,3,3,5,3,0,3
29,Yes,Travel_Rarely,1043,Sales,5,2,Life Sciences,1,489,2,Male,69,1,1,Research Scientist,1,Single,3156,6665,5,Y,No,22,3,1,80,0,8,2,3,5,3,0,3
29,Yes,Travel_Frequently,769,Sales,9,1,Life Sciences,1,97,2,Male,79,1,1,Research Scientist,1,Single,3407,6596,7,Y,No,22,3,2,80,1,8,2,3,5,3,0,3
33,Yes,Travel_Rarely,1214,Sales,9,1,Medical,1,300,1,Male,44,2,1,Sales Representative,1,Single,3407,6630,7,Y,No,19,3,2,80,0,8,2,3,5,3,0,3
33,Yes,Travel_Rarely,896,Research & Development,9,3,Medical,1,458,1,Male,59,1,1,Sales Representative,1,Single,3407,6793,3,Y,No,22,3,2,80,1,9,2,3,4,3,0,3
33,Yes,Travel_Rarely,1017,Sales,9,1,Life Sciences,1,168,1,Male,42,2,1,Research Scientist,1,Single,3407,6620,5,Y,No,22,3,1,80,0,8,3,3,5,3,0,3
34,Yes,Travel_Rarely,685,Sales,8,2,Life Sciences,1,395,3,Male,78,2,1,Research Scientist,1,Single,3407,6688,7,Y,No,18,4,1,80,2,9,3,3,4,3,0,3
34,Yes,Travel_Rarely,816,Sales,9,3,Life Sciences,1,279,3,Male,41,1,1,Laboratory Technician,1,Single,3305,6956,7,Y,No,17,3,2,80,0,7,2,3,5,3,0,3
28,Yes,Travel_Rarely,810,Sales,4,1,Technical Degree,1,121,3,Male,79,1,1,Sales Representative,1,Divorced,3131,6684,6,Y,No,22,3,1,80,2,8,3,3,4,3,0,3
29,Yes,Travel_Rarely,721,Research & Development,9,2,Life Sciences,1,115,3,Male,44,1,1,Laboratory Technician,1,Single,3407,6693,7,Y,No,22,4,1,80,0,8,3,3,5,3,0,3
35,Yes,Travel_Rarely,942,Sales,9,1,Medical,1,38,3,Male,78,1,1,Research Scientist,1,Divorced,3407,6885,1,Y,No,19,3,2,80,0,9,3,3,4,3,0,3
29,Yes,Travel_Frequently,1026,Sales,3,3,Technical Degree,1,568,3,Male,79,1,1,Laboratory Technician,1,Single,3407,6712,7,Y,No,15,4,1,80,0,9,3,3,4,3,0,3
29,Yes,Travel_Rarely,777,Sales,5,2,Life Sciences,1,459,2,Male,74,1,1,Research Scientist,1,Single,3407,6965,7,Y,No,19,4,2,80,1,9,2,3,4,3,0,3
28,Yes,Travel_Rarely,988,Research & Development,4,1,Medical,1,356,2,Male,71,1,1,Sales Representative,1,Divorced,2934,17548,0,Y,No,11,3,2,80,0,8,1,3,5,2,0,2
28,Yes,Travel_Rarely,706,Sales,2,1,Medical,1,95,2,Male,84,3,1,Laboratory Technician,2,Divorced,3026,16527,2,Y,No,11,3,2,80,0,9,1,2,4,2,1,0
36,Yes,Travel_Rarely,741,Research & Development,2,1,Medical,1,121,2,Male,84,2,1,Research Scientist,1,Divorced,2783,17192,2,Y,No,11,3,3,80,0,6,2,3,4,3,0,1
35,Yes,Travel_Rarely,1155,Research & Development,4,2,Marketing,1,308,2,Male,68,3,1,Research Scientist,1,Divorced,2965,17413,1,Y,No,12,3,3,80,0,9,1,3,4,2,0,2
29,Yes,Travel_Rarely,745,Sales,4,3,Life Sciences,1,393,2,Female,76,3,1,Sales Representative,2,Single,2853,16660,0,Y,No,11,3,3,80,0,8,1,3,5,4,1,2
35,Yes,Travel_Rarely,997,Research & Development,3,3,Medical,1,446,2,Male,78,1,1,Research Scientist,1,Single,2961,16416,2,Y,Yes,11,3,3,80,0,6,1,2,4,3,1,2
37,Yes,Travel_Rarely,1081,Sales,4,1,Life Sciences,1,225,2,Male,74,1,1,Sales Representative,2,Single,2922,17676,2,Y,No,11,3,2,80,0,7,2,3,4,2,1,2
39,Yes,Travel_Rarely,1069,Research & Development,4,1,Life Sciences,1,153,2,Male,78,2,1,Research Scientist,1,Divorced,3026,16681,0,Y,No,12,3,3,80,0,6,1,3,4,3,0,2
29,Yes,Travel_Rarely,894,Research & Development,3,2,Medical,1,639,2,Male,75,2,1,Sales Representative,1,Single,3026,16503,1,Y,Yes,11,3,3,80,0,6,1,2,4,2,0,2
29,Yes,Travel_Rarely,1202,Research & Development,5,1,Medical,1,144,2,Male,83,1,1,Sales Representative,1,Single,2794,16373,3,Y,Yes,11,3,2,80,0,9,2,2,4,4,1,1
40,Yes,Travel_Rarely,702,Research & Development,2,3,Life Sciences,1,390,2,Male,60,3,1,Research Scientist,1,Divorced,2875,16437,3,Y,No,11,3,2,80,0,9,1,3,4,2,1,0
32,Yes,Travel_Rarely,1059,Sales,4,1,Life Sciences,1,725,2,Male,69,2,1,Research Scientist,1,Single,2954,17529,0,Y,Yes,11,3,2,80,0,8,2,3,5,4,1,2
38,Yes,Travel_Rarely,924,Research & Development,3,3,Medical,1,217,2,Male,59,3,1,Sales Representative,1,Single,2915,16417,1,Y,No,11,3,3,80,0,9,2,3,4,2,0,2
37,Yes,Travel_Rarely,1024,Research & Development,5,1,Medical,1,516,2,Female,83,3,1,Sales Representative,1,Divorced,2780,16545,3,Y,No,11,3,3,80,0,8,1,3,5,4,1,1
38,Yes,Travel_Rarely,1149,Research & Development,3,1,Medical,1,437,2,Female,58,2,1,Laboratory Technician,1,Single,2986,17046,3,Y,No,12,3,2,80,0,5,2,2,4,2,0,0
28,Yes,Travel_Rarely,948,Research & Development,2,3,Marketing,1,182,2,Male,83,2,1,Research Scientist,1,Divorced,3033,16538,1,Y,No,11,3,3,80,0,9,1,2,6,2,0,2
29,Yes,Travel_Rarely,1255,Sales,3,2,Medical,1,174,2,Male,60,2,1,Laboratory Technician,1,Single,2836,16554,3,Y,Yes,11,3,3,80,0,9,2,2,4,2,0,1
33,Yes,Travel_Rarely,1007,Research & Development,3,1,Life Sciences,1,46,2,Male,83,2,1,Sales Representative,1,Divorced,2820,17324,0,Y,No,11,3,2,80,0,8,1,2,5,5,0,2
29,Yes,Travel_Rarely,913,Research & Development,2,1,Marketing,1,901,2,Male,83,2,1,Laboratory Technician,1,Divorced,2943,16590,3,Y,No,12,3,3,80,0,8,1,3,6,6,0,2
29,Yes,Travel_Rarely,968,Research & Development,3,1,Medical,1,726,2,Male,84,2,1,Sales Representative,1,Single,2867,17063,3,Y,No,11,3,2,80,0,7,2,3,6,4,0,1
51,Yes,Travel_Frequently,1195,Research & Development,11,1,Life Sciences,1,98,2,Female,53,2,1,Research Scientist,1,Married,3886,4626,7,Y,Yes,18,3,1,80,1,9,4,3,8,3,5,5
51,Yes,Travel_Frequently,1117,Research & Development,4,1,Life Sciences,1,109,2,Female,72,2,1,Laboratory Technician,2,Married,4775,4551,1,Y,Yes,19,3,1,80,0,7,4,3,9,3,5,6
29,Yes,Travel_Frequently,1135,Research & Development,4,3,Life Sciences,1,51,2,Female,72,1,1,Research Scientist,1,Married,3697,4669,1,Y,Yes,19,3,2,80,1,8,4,3,9,3,4,6
30,Yes,Travel_Rarely,692,Research & Development,15,1,Life Sciences,1,365,3,Female,49,2,1,Research Scientist,1,Married,3994,4642,4,Y,Yes,17,3,2,80,0,7,3,3,6,2,4,3
47,Yes,Travel_Rarely,1081,Research & Development,15,1,Technical Degree,1,466,2,Male,62,1,1,Research Scientist,2,Single,3785,4581,6,Y,Yes,18,3,2,80,1,8,4,3,8,4,5,4
30,Yes,Travel_Rarely,841,Research & Development,14,1,Life Sciences,1,116,2,Female,64,2,1,Research Scientist,1,Single,3941,4525,1,Y,Yes,19,3,2,80,0,8,4,3,6,3,5,6
28,Yes,Travel_Frequently,1218,Research & Development,12,1,Technical Degree,1,72,3,Female,58,2,1,Research Scientist,2,Single,3872,4610,1,Y,Yes,19,3,1,80,2,9,3,3,9,3,5,5
26,Yes,Travel_Frequently,773,Research & Development,15,1,Technical Degree,1,57,3,Female,64,1,1,Research Scientist,1,Married,4780,4585,5,Y,Yes,17,3,2,80,1,8,4,3,6,3,4,6
47,Yes,Travel_Frequently,939,Research & Development,14,1,Life Sciences,1,155,2,Female,61,1,1,Research Scientist,1,Single,4777,4545,2,Y,Yes,21,3,2,80,0,8,3,3,8,2,5,6
48,Yes,Travel_Rarely,647,Research & Development,15,3,Life Sciences,1,168,2,Female,72,2,1,Research Scientist,1,Single,3711,4516,1,Y,Yes,18,3,1,80,0,8,2,3,5,4,5,6
25,Yes,Travel_Rarely,1121,Research & Development,6,1,Technical Degree,1,105,3,Female,37,2,1,Research Scientist,1,Married,3812,4530,1,Y,Yes,19,3,1,80,0,8,3,3,5,2,5,6
38,Yes,Travel_Rarely,783,Research & Development,10,1,Technical Degree,1,864,3,Female,51,1,1,Research Scientist,1,Single,3911,4628,5,Y,Yes,20,3,1,80,0,9,3,3,8,4,5,4
27,Yes,Travel_Frequently,911,Research & Development,7,1,Life Sciences,1,70,3,Female,36,2,1,Research Scientist,1,Single,3863,4526,3,Y,Yes,19,3,2,80,0,8,4,3,9,3,5,6
28,Yes,Travel_Frequently,1204,Research & Development,15,2,Life Sciences,1,130,2,Male,72,1,1,Research Scientist,1,Married,3694,4555,1,Y,Yes,18,3,2,80,0,8,4,3,8,4,5,6
27,Yes,Travel_Frequently,697,Research & Development,7,1,Life Sciences,1,519,2,Male,34,1,1,Laboratory Technician,1,Single,4266,4668,1,Y,Yes,18,3,1,80,1,7,3,3,5,3,5,6
49,Yes,Travel_Frequently,1185,Research & Development,14,1,Life Sciences,1,214,2,Female,72,1,1,Research Scientist,1,Married,4860,4553,1,Y,Yes,21,3,2,80,0,7,4,3,7,2,5,3
48,Yes,Travel_Frequently,597,Research & Development,7,1,Life Sciences,1,204,2,Female,37,1,1,Laboratory Technician,1,Single,3764,4557,1,Y,Yes,20,3,2,80,0,8,4,3,8,3,4,6
33,Yes,Travel_Rarely,832,Research & Development,9,3,Technical Degree,1,36,2,Female,72,1,1,Research Scientist,1,Married,3743,4653,7,Y,Yes,19,3,1,80,0,9,4,3,8,5,4,4
48,Yes,Travel_Rarely,921,Research & Development,14,1,Life Sciences,1,1075,2,Female,72,1,1,Laboratory Technician,1,Married,3898,4565,1,Y,Yes,16,3,2,80,0,8,4,3,7,6,4,6
46,Yes,Travel_Rarely,1190,Research & Development,14,2,Life Sciences,1,865,2,Female,72,1,1,Research Scientist,1,Single,3802,4672,1,Y,Yes,19,3,1,80,0,9,2,3,7,4,4,6
31,Yes,Travel_Rarely,833,Research & Development,3,3,Technical Degree,1,283,3,Male,58,3,1,Research Scientist,4,Single,2115,3109,8,Y,Yes,21,3,3,80,0,16,4,3,1,0,0,0
31,Yes,Travel_Rarely,890,Research & Development,1,3,Technical Degree,1,42,3,Male,43,3,1,Research Scientist,4,Married,2249,3404,2,Y,Yes,19,3,3,80,0,6,5,3,1,0,0,0
33,Yes,Travel_Rarely,885,Research & Development,1,3,Technical Degree,1,109,3,Male,46,3,1,Sales Representative,4,Married,2286,3289,2,Y,Yes,18,3,1,80,0,11,5,3,1,0,0,0
36,Yes,Travel_Rarely,622,Research & Development,4,3,Technical Degree,1,42,2,Male,58,3,1,Sales Representative,4,Married,2100,3177,5,Y,No,15,3,2,80,1,8,3,3,1,0,0,0
33,Yes,Travel_Frequently,867,Research & Development,4,3,Medical,1,43,3,Male,57,3,1,Research Scientist,4,Married,2207,3388,7,Y,Yes,22,3,2,80,0,13,4,3,1,0,0,0
35,Yes,Travel_Frequently,716,Research & Development,4,3,Technical Degree,1,350,3,Male,56,3,1,Sales Representative,4,Married,2090,3418,2,Y,Yes,18,3,1,80,1,13,4,3,1,0,0,0
31,Yes,Travel_Rarely,813,Research & Development,3,3,Medical,1,186,2,Male,57,3,1,Research Scientist,4,Married,2128,3044,2,Y,No,18,3,3,80,0,16,4,3,1,0,1,0
28,Yes,Travel_Rarely,673,Sales,4,3,Medical,1,132,2,Male,56,3,1,Sales Representative,4,Married,2250,3386,6,Y,No,15,3,2,80,0,8,4,3,1,0,0,0
33,Yes,Travel_Rarely,777,Sales,4,3,Technical Degree,1,493,3,Male,57,3,1,Research Scientist,4,Married,2249,3407,4,Y,Yes,14,3,2,80,1,9,2,2,1,0,0,0
32,Yes,Travel_Frequently,594,Sales,4,3,Technical Degree,1,42,3,Male,51,3,1,Research Scientist,4,Married,2274,3423,2,Y,Yes,21,3,3,80,1,12,4,3,1,0,1,0
